"t","x","y","z","a"
5.989802400E-2,-2.066427469E-1,1.766612828E-1,-1.535520554E-1,3.122317527E-1
6.481031600E-2,-2.062166929E-1,1.877931952E-1,-3.107919693E-1,4.175922135E-1
6.973083700E-2,-2.433449030E-1,1.268998086E-1,-3.566465378E-1,4.500189509E-1
7.466213900E-2,-2.315931320E-1,3.830955923E-2,-3.883981705E-1,4.538239085E-1
7.960620100E-2,-2.007848024E-1,-3.754901886E-2,-4.335947037E-1,4.793003576E-1
8.456448200E-2,-1.516633034E-1,-8.457382023E-2,-4.602632523E-1,4.919316518E-1
8.953776400E-2,-5.786597729E-2,-1.186472476E-1,-3.980484009E-1,4.193663913E-1
9.452620100E-2,2.681136131E-3,-1.635915786E-1,-3.369579315E-1,3.745798189E-1
9.952937800E-2,7.338345051E-2,-2.055893093E-1,-3.618984222E-1,4.226376260E-1
1.045462530E-1,1.543945074E-1,-2.269353122E-1,-4.002990723E-1,4.853623874E-1
1.095753160E-1,2.554932833E-1,-2.789627016E-1,-3.836116791E-1,5.387531225E-1
1.146145870E-1,3.360601664E-1,-2.740617692E-1,-2.871904373E-1,5.201198286E-1
1.196618260E-1,3.842636347E-1,-1.740717888E-1,-1.143331528E-1,4.370716170E-1
1.247144820E-1,3.923778534E-1,-3.344175220E-2,1.049222946E-1,4.075382418E-1
1.297699510E-1,2.285566330E-1,8.220733702E-2,3.237705231E-1,4.047511981E-1
1.348255760E-1,4.012453556E-2,2.107791901E-1,5.065240860E-1,5.500949873E-1
1.398229720E-1,-1.326586008E-1,3.656975329E-1,6.646022797E-1,7.700838786E-1
1.448154200E-1,-2.594491243E-1,4.725680649E-1,7.534408569E-1,9.264488917E-1
1.498078680E-1,-3.797757626E-1,5.149579048E-1,7.620286942E-1,9.950371874E-1
1.548003160E-1,-4.017890096E-1,5.366514921E-1,7.254791260E-1,9.878001794E-1
1.597927640E-1,-3.654507399E-1,5.107663870E-1,6.404953003E-1,8.970344336E-1
1.647852120E-1,-3.184509277E-1,4.341984093E-1,5.083684921E-1,7.405253377E-1
1.697776590E-1,-2.605192661E-1,2.854528427E-1,3.626527786E-1,5.299723118E-1
1.747701070E-1,-2.373387814E-1,1.638445258E-1,1.894016266E-1,3.450328998E-1
1.797625550E-1,-2.289731503E-1,8.737331629E-2,-6.201171875E-2,2.528008172E-1
1.847550030E-1,-2.909765244E-1,3.918841481E-3,-2.688817978E-1,3.962071633E-1
1.897474510E-1,-3.470035195E-1,-8.625707030E-2,-3.537559509E-1,5.029860809E-1
1.947398990E-1,-2.992292643E-1,-9.908397496E-2,-4.738121033E-1,5.690814493E-1
1.997323470E-1,-2.200050354E-1,-1.202647686E-1,-5.677299500E-1,6.206312321E-1
2.047247950E-1,-1.514891386E-1,-1.681954563E-1,-5.711011887E-1,6.143250266E-1
2.097172430E-1,-5.537688732E-2,-1.675865501E-1,-5.656261444E-1,5.925240811E-1
2.147096910E-1,-2.009510994E-3,-1.384808123E-1,-5.188522339E-1,5.370182624E-1
2.197021390E-1,1.181364059E-4,-1.003409922E-1,-4.270029068E-1,4.386340286E-1
2.246945870E-1,3.133928776E-2,-4.410980642E-2,-2.909860611E-1,2.959741775E-1
2.296870340E-1,-3.083229065E-3,-3.208801150E-3,-1.583662033E-1,1.584287129E-1
2.346794820E-1,-4.130721092E-2,3.659503162E-2,-2.886104584E-2,6.227713850E-2
2.396719300E-1,-4.633188248E-2,8.466374874E-2,5.566215515E-2,1.114130567E-1
2.446643780E-1,-4.718995094E-2,1.126128286E-1,1.431303024E-1,1.881351220E-1
2.496568260E-1,-1.610362530E-2,1.067401618E-1,1.679811478E-1,1.996758746E-1
2.546492740E-1,-1.476633549E-2,1.099777669E-1,1.925029755E-1,2.221948456E-1
2.596417220E-1,3.742229939E-2,7.052297890E-2,2.166881561E-1,2.309278590E-1
2.646341700E-1,2.742683887E-2,5.964134634E-2,2.170276642E-1,2.267384588E-1
2.696266180E-1,1.278972626E-2,7.210578024E-2,2.033748627E-1,2.161577096E-1
2.746190660E-1,2.186608315E-2,8.408308029E-2,1.900634766E-1,2.089789825E-1
2.796115140E-1,-1.124751568E-2,9.101387858E-2,1.864337921E-1,2.077681197E-1
2.846039620E-1,-6.689572334E-2,9.762425721E-2,1.311893463E-1,1.766810063E-1
2.895964090E-1,-1.163963079E-1,9.472550452E-2,3.462409973E-2,1.540124995E-1
2.945888570E-1,-1.692442894E-1,9.194822609E-2,-4.616069794E-2,1.980629087E-1
2.995813050E-1,-2.301156521E-1,7.529003918E-2,-7.385444641E-2,2.531329346E-1
3.045737530E-1,-2.991115451E-1,4.498568177E-2,-1.011276245E-1,3.189329466E-1
3.095662010E-1,-3.340207934E-1,5.765147507E-2,-9.972858429E-2,3.533261575E-1
3.145586490E-1,-3.356795311E-1,7.499228418E-2,-9.364414215E-2,3.564741444E-1
3.195510970E-1,-3.567947149E-1,9.204401076E-2,-1.696586609E-2,3.688663838E-1
3.245435450E-1,-2.936691642E-1,7.114213705E-2,5.385971069E-2,3.069261313E-1
3.295359930E-1,-2.134743929E-1,4.105472565E-2,9.538555145E-2,2.373925238E-1
3.345284410E-1,-1.020960808E-1,2.071942389E-2,9.392356873E-2,1.402659652E-1
3.395208890E-1,-3.540015221E-2,-1.348128915E-2,7.370948792E-2,8.287342482E-2
3.445133370E-1,1.115572453E-2,-6.603673100E-2,5.856609344E-2,8.896790058E-2
3.495057840E-1,7.136785984E-2,-7.059477270E-2,1.062107086E-2,1.009445417E-1
3.544982320E-1,9.362387657E-2,-7.018955052E-2,-6.028366089E-2,1.316287318E-1
3.594906800E-1,4.585623741E-2,-6.019879878E-2,-7.367229462E-2,1.056139048E-1
3.644831280E-1,2.842152119E-2,-7.846358418E-2,-8.232307434E-2,1.172237411E-1
3.694755760E-1,5.515122414E-2,-8.214928210E-2,-8.631801605E-2,1.313048437E-1
3.744680240E-1,7.304084301E-2,-8.094154298E-2,-6.678009033E-2,1.278517837E-1
3.794604720E-1,6.286990643E-2,-8.442308009E-2,1.381492615E-2,1.061637121E-1
3.844529200E-1,2.460801601E-2,-8.798168600E-2,1.122055054E-1,1.446941843E-1
3.894453680E-1,-2.309751511E-2,-1.200362146E-1,1.810188293E-1,2.184261994E-1
3.944378160E-1,-4.736554623E-2,-1.188708246E-1,2.065258026E-1,2.429540595E-1
3.994302640E-1,-3.921234608E-2,-1.132801175E-1,2.082176208E-1,2.402593822E-1
4.044227120E-1,-5.110311508E-2,-1.268694997E-1,2.242240906E-1,2.626477510E-1
4.094151590E-1,-2.594959736E-2,-9.314754605E-2,1.692552567E-1,1.949286763E-1
4.144076070E-1,1.733481884E-2,-9.291669726E-2,1.339721680E-1,1.639589899E-1
