"t","x","y","z","a"
4.046574490E-1,1.098513603E-2,-1.311728358E-2,3.368949890E-2,3.778516479E-2
4.096492720E-1,1.058876514E-2,-8.122205734E-3,3.799724579E-2,4.027260683E-2
4.146410950E-1,1.025071740E-2,-2.210500836E-2,2.334117889E-2,3.374195066E-2
4.196329180E-1,-4.166096449E-3,-3.129270673E-2,1.832771301E-2,3.650335489E-2
4.246247410E-1,-4.167616367E-3,-4.983115196E-2,2.283573151E-2,5.497256921E-2
4.296165640E-1,-4.323214293E-3,-2.568268776E-2,2.730274200E-2,3.773235155E-2
4.346083870E-1,1.488029957E-4,-3.504660726E-2,1.280212402E-2,3.731194449E-2
4.396002100E-1,9.146749973E-3,-1.586320996E-2,1.740646362E-2,2.526439078E-2
4.445920330E-1,1.325526834E-2,-1.115298271E-2,3.616142273E-2,4.009662898E-2
4.495838560E-1,4.592543840E-2,-1.128348708E-2,4.049873352E-2,6.226243161E-2
4.545756790E-1,6.408020854E-2,-1.614797115E-2,2.585411072E-2,7.096101141E-2
4.595675020E-1,6.304746866E-2,-1.627504826E-2,3.032016754E-2,7.182738378E-2
4.645593240E-1,7.624295354E-2,-2.114197612E-2,2.053451538E-2,8.174128357E-2
4.695511470E-1,6.573069096E-2,-2.122631669E-2,4.874134064E-2,8.453873988E-2
4.745429700E-1,2.707940340E-2,-1.189345121E-2,3.401565552E-2,4.507563744E-2
4.795347930E-1,-1.680850983E-3,-1.213413477E-2,4.313659668E-2,4.484226198E-2
4.845266160E-1,-2.065876126E-2,-2.900719643E-3,5.690288544E-2,6.060641024E-2
4.895184390E-1,-3.012028337E-2,1.102688909E-2,5.632209778E-2,6.481514060E-2
4.945102620E-1,-3.495854139E-2,2.007618546E-2,3.680801392E-2,5.458921805E-2
4.995020850E-1,-1.626116037E-2,-4.140943289E-3,-1.449584961E-3,1.684262582E-2
5.044939080E-1,2.188622952E-3,5.173116922E-3,-6.141662598E-3,8.322933893E-3
5.094857310E-1,1.597404480E-3,1.714825630E-4,-6.050109863E-3,6.259787273E-3
5.144775540E-1,1.059535146E-2,-1.899966598E-2,-1.070594788E-2,2.424595017E-2
